frame,time_epoch,src_ip,lat,lon,altitude_ft,flight_level,aircraft_id,aircraft_address,adsb_version
72,1763110266.824351862,10.30.212.17,-10.1239442825317,-77.8662014007568,30650,287.75,TAI428,0xad4ebc,DO-260B
73,1763110266.824936183,172.16.11.2,-4.52756881713867,-79.559383392334,36200,340,CMP118,0x0c20bb,DO-260B
74,1763110266.898313714,172.16.11.2,-6.82898998260498,-79.2712712287903,34050,320,CMP421,0x0c2076,DO-260B
77,1763110266.902999351,172.16.3.2,-1.41433954238892,-79.8600912094116,40450,380,AAL908,0xaaa6dd,DO-260B
78,1763110266.926566024,10.30.212.17,-13.6966252326965,-77.4417042732239,39250,370,UAL819,0xaac136,DO-260B
80,1763110266.948850742,172.16.11.2,-5.39947986602783,-76.4687705039978,39400,370,DWI3761,0x0c4354,DO-260B
81,1763110266.950724641,172.16.3.2,-2.89163589477539,-79.7689175605774,37175,350,CJT1507,0xc027da,DO-260B
82,1763110266.974249019,172.16.1.2,-19.841673374176,-75.8593082427979,32675,310,AAL945,0xaa6914,DO-260B
83,1763110266.978338464,172.16.3.2,-2.39441871643066,-81.866147518158,31775,300,UAL855,0xa89234,DO-260B
84,1763110267.029592956,172.16.11.2,-5.75720071792603,-79.4058966636658,39400,370,VOI3918,0x0d0d6d,DO-260B
85,1763110267.032349811,172.16.3.2,-3.54055881500244,-79.6859622001648,34025,320,CMP338,0x0c20d6,DO-260B
86,1763110267.032421455,172.16.13.2,-6.28422260284424,-72.8624868392944,38400,360,AVA240,0xaa57e6,DO-260B
87,1763110267.049871787,172.16.13.2,-6.28422260284424,-72.8624868392944,38400,360,AVA240,0xaa57e6,DO-260B
88,1763110267.058318006,172.16.3.2,-5.75720071792603,-79.4058966636658,39400,370,VOI3918,0x0d0d6d,DO-260B
89,1763110267.058390014,172.16.7.2,-9.36314105987549,-76.8017292022705,37300,350,DWI6771,0x0c4355,DO-260B
90,1763110267.098883727,172.16.7.2,-9.36314105987549,-76.8017292022705,37300,350,DWI6771,0x0c4355,DO-260B
94,1763110267.098917151,172.16.7.2,-6.28293514251709,-72.8626585006714,38400,360,AVA240,0xaa57e6,DO-260B
95,1763110267.132333173,172.16.7.2,-6.28293514251709,-72.8626585006714,38400,360,AVA240,0xaa57e6,DO-260B
96,1763110267.132405194,172.16.5.2,-13.5487818717957,-74.8673844337463,31475,297.25,RER9511,0xe840a0,DO-260B
97,1763110267.163124099,172.16.5.2,-13.5487818717957,-74.8673844337463,31475,297.25,RER9511,0xe840a0,DO-260B
99,1763110267.170749504,172.16.11.2,-5.85766553878784,-79.3932580947876,34050,320,CMP276,0x0c20b5,DO-260B
100,1763110267.184074193,10.30.212.17,-12.0144939422607,-77.3622035980225,18475,175,LPE2811,0xe80408,DO-260B
101,1763110267.184138211,172.16.13.2,-2.33023881912231,-72.9873275756836,38325,360,CMP206,0x0c205f,DO-260B
102,1763110267.205593336,172.16.13.2,-2.33023881912231,-72.9873275756836,38325,360,CMP206,0x0c205f,DO-260B
